Crop,count
Turnip,2
Apple,4
other fibres,4
Peach,4
Coffee,6
Plums,6
Litchi,6
Pear,6
Jobster,9
Perilla,9
Ricebean (nagadal),10
Ber,11
Colocosia,11
Kapas,12
Atcanut (Raw),13
Arcanut (Processed),13
Cashewnut Processed,15
Beet Root,16
Rajmash Kholar,18
Jute & mesta,20
Bean,20
Carrot,26
Rubber,29
Cashewnut Raw,29
Lentil,31
Samai,31
Yam,36
Ribed Guard,38
Varagu,43
Ash Gourd,44
other misc. pulses,44
Pome Granet,45
Bottle Gourd,45
Lab-Lab,48
Pump Kin,51
Cucumber,51
Korra,53
Redish,59
Tea,62
Other Citrus Fruit,68
Grapes,71
Water Melon,78
Snak Guard,82
Oilseeds total,84
Bitter Gourd,92
Jack Fruit,98
Blackgram,99
Beans & Mutter(Vegetable),106
Cabbage,108
Drum Stick,112
Pulses total,114
Cauliflower,120
Total foodgrain,127
Bhindi,190
Tomato,202
Ginger,220
Orange,228
Pome Fruit,234
Citrus Fruit,241
Pineapple,247
Brinjal,248
Other Cereals & Millets,282
Other Vegetables,298
Cardamom,298
Mango,315
Other Fresh Fruits,316
Cowpea(Lobia),330
Papaya,391
Moth,401
other oilseeds,404
Paddy,464
Guar seed,631
Safflower,709
Cashewnut,781
Black pepper,795
Khesari,1060
Jute,1090
Arecanut,1169
Coconut ,1362
Niger seed,1413
Mesta,1428
Tapioca,1448
Sannhamp,1593
Tobacco,1614
Soyabean,2064
Castor seed,2115
Other  Rabi pulses,2189
Dry ginger,2213
Other Kharif pulses,2384
Garlic,2412
Banana,2428
Coriander,2551
Cotton(lint),2738
Horse-gram,2821
Bajra,2876
Ragi,2886
Turmeric,2943
Barley,2964
Masoor,2998
Sunflower,3025
Linseed,3156
Small millets,3208
Sweet potato,3245
Peas & beans (Pulses),3297
Jowar,3844
Dry chillies,3987
Onion,4524
Gram,4667
Potato,4818
Groundnut,4842
Arhar/Tur,4866
Wheat,5170
Sugarcane,5179
Rapeseed &Mustard,5248
Sesamum,5604
Urad,5886
Moong(Green Gram),6135
Maize,8657
Rice,10228
